LocationID,yellow_6am,yellow_5pm,green_5pm,green_6am
1,26,52,1,4
2,4,3,0,0
3,1,1,14,7
4,756,1007,0,0
5,0,0,0,0
6,2,2,2,0
7,1255,554,3886,920
8,18,7,3,1
9,2,4,1,0
10,98,153,10,4
11,3,4,5,2
12,31,150,0,0
13,2563,4886,0,0
14,12,24,106,15
15,1,0,1,0
16,4,0,5,6
17,86,103,1306,370
18,8,3,154,38
19,1,4,2,3
20,5,2,113,28
21,4,2,6,3
22,9,3,9,4
23,0,1,0,1
24,853,1779,293,45
25,495,473,2181,260
26,14,15,42,5
27,0,0,0,1
28,37,29,76,18
29,2,2,36,5
30,0,0,0,0
31,2,0,33,5
32,2,1,27,14
33,805,459,2095,355
34,5,24,109,4
35,12,11,137,36
36,79,41,90,176
37,109,82,326,171
38,0,0,3,0
39,0,10,52,19
40,395,235,702,133
41,1265,1887,4512,896
42,801,833,2727,703
43,1868,8771,1000,102
44,0,0,0,0
45,220,1318,0,0
46,0,0,1,0
47,5,3,91,31
48,13396,13240,0,0
49,111,124,1471,478
50,2485,5120,0,0
51,0,3,28,5
52,460,206,931,130
53,0,3,21,5
54,63,29,74,28
55,2,2,58,46
56,19,7,155,57
57,0,0,5,4
58,0,0,0,0
59,0,2,6,1
60,5,6,55,23
61,119,84,1335,572
62,15,18,232,82
63,4,13,33,17
64,0,3,1,1
65,496,571,1858,161
66,180,148,1905,419
67,4,5,12,2
68,5393,12549,0,0
69,25,28,342,87
70,87,80,95,69
71,5,13,96,18
72,3,6,55,19
73,1,1,13,2
74,1628,1895,4779,1330
75,2721,3973,5689,1105
76,6,23,231,32
77,1,2,59,15
78,7,3,125,48
79,6223,12392,0,0
80,138,187,430,212
81,2,1,10,6
82,245,82,3763,614
83,123,65,443,116
84,0,0,0,0
85,9,9,152,51
86,1,0,2,1
87,1871,4561,0,0
88,460,2527,0,0
89,60,58,331,83
90,4551,10659,0,0
91,8,5,67,13
92,16,21,842,187
93,28,46,20,6
94,4,2,73,26
95,154,40,2009,358
96,4,0,7,3
97,285,321,2963,452
98,0,2,2,5
99,0,0,0,0
100,7954,9863,0,0
101,0,2,1,0
102,4,4,29,8
103,0,0,0,0
104,0,0,0,0
105,0,1,0,0
106,40,99,370,42
107,6874,14526,0,0
108,1,6,6,4
109,0,0,0,0
110,0,0,0,0
111,0,1,7,0
112,143,227,1202,327
113,3033,10060,0,0
114,1534,6859,0,0
115,2,0,0,0
116,421,408,980,449
117,0,2,3,0
118,0,1,2,0
119,26,11,128,46
120,0,4,8,7
121,4,3,119,11
122,25,8,14,3
123,13,5,20,14
124,4,6,6,2
125,870,3325,0,0
126,4,5,77,26
127,27,34,266,171
128,2,2,11,3
129,566,200,2208,841
130,39,64,936,248
131,4,4,17,5
132,10674,16067,16,21
133,45,38,49,17
134,27,20,669,116
135,13,5,33,21
136,6,3,90,28
137,3697,7523,0,0
138,620,18052,21,8
139,3,2,0,0
140,4583,12226,1,0
141,7048,14787,0,0
142,4841,19095,0,0
143,3213,6756,0,0
144,1074,6570,0,0
145,315,581,1122,687
146,510,543,430,103
147,2,1,72,25
148,1860,4306,0,0
149,2,3,91,3
150,1,5,4,2
151,2386,5902,0,0
152,373,624,713,264
153,1,1,60,12
154,2,1,11,1
155,6,3,36,1
156,0,0,3,15
157,22,11,55,11
158,1725,5615,0,0
159,18,22,375,60
160,5,7,27,7
161,4787,22322,0,0
162,6006,24042,0,0
163,3333,17210,0,0
164,3945,13035,0,0
165,20,7,17,12
166,991,3355,4209,419
167,21,7,114,57
168,108,161,338,101
169,9,4,166,64
170,7420,17763,0,0
171,5,2,10,8
172,0,0,0,0
173,24,7,381,156
174,5,3,270,52
175,0,1,1,1
176,0,0,0,0
177,10,8,202,55
178,7,22,3,1
179,536,197,431,129
180,6,5,20,3
181,440,429,3307,418
182,5,4,126,40
183,3,0,38,9
184,1,1,24,6
185,5,0,75,17
186,14590,18391,0,0
187,0,0,3,0
188,66,45,428,193
189,74,87,555,126
190,15,14,133,17
191,5,2,9,6
192,2,4,74,3
193,294,174,246,43
194,24,33,0,3
195,14,28,227,22
196,73,25,1010,46
197,13,29,66,37
198,12,15,56,22
199,0,3,0,0
200,0,3,7,3
201,1,2,0,0
202,24,40,29,8
203,2,2,5,0
204,0,0,0,0
205,2,1,11,4
206,0,0,4,5
207,44,5,1,0
208,0,1,31,4
209,234,984,0,0
210,1,3,444,36
211,801,5338,0,0
212,7,4,154,41
213,3,8,75,26
214,0,0,0,0
215,44,53,20,6
216,17,58,42,13
217,17,31,96,15
218,2,6,7,3
219,20,61,7,0
220,8,12,137,33
221,0,0,2,0
222,1,1,8,1
223,616,236,1487,429
224,1844,1530,0,0
225,46,36,630,211
226,1427,685,1165,266
227,5,7,22,3
228,72,37,229,80
229,4444,10492,0,0
230,4297,18941,0,0
231,3831,10429,0,0
232,393,675,0,1
233,3058,9124,0,0
234,4321,21678,0,0
235,12,7,109,61
236,8597,26874,240,60
237,6840,28377,0,0
238,4652,13083,0,0
239,4778,18589,0,0
240,2,0,6,7
241,5,2,71,44
242,6,4,155,32
243,55,71,390,281
244,405,329,2006,565
245,0,0,0,3
246,1938,9007,0,0
247,58,93,529,115
248,2,0,79,34
249,4254,8801,0,0
250,7,14,115,26
251,0,0,0,0
252,5,3,9,0
253,0,2,1,0
254,3,0,33,9
255,123,448,2366,652
256,213,381,864,317
257,45,19,101,19
258,27,7,27,18
259,6,5,12,1
260,623,212,1612,359
261,606,2814,0,0
262,5678,8216,3,1
263,6742,10876,56,21
264,3995,8878,131,78
265,140,259,71,25
