green_6to8,green_9to16,green_17to19,green_20to5,LocationID
25.66666667,49,32,29.66666667,1
2.666666667,0.571428571,3,1.666666667,2
1.333333333,1.285714286,1,5.333333333,3
1245,1430,1296,5757,4
0,0,0,1,5
3.333333333,2,1.333333333,3.666666667,6
1318.333333,768.4285714,594.3333333,3792.333333,7
15.33333333,7.428571429,4.666666667,9.333333333,8
1,1.571428571,4,5,9
89.33333333,102.2857143,120.6666667,126,10
2.333333333,3.285714286,2.666666667,6.666666667,11
44.33333333,304.2857143,115.3333333,137.3333333,12
5308.666667,6342.285714,5562,6162,13
17.66666667,15.57142857,20,128.3333333,14
0.666666667,1.428571429,0.666666667,1.333333333,15
2.333333333,1.857142857,0.666666667,9,16
75,79.85714286,158.6666667,1167,17
7.666666667,2.285714286,3.333333333,31,18
1.333333333,4.857142857,2.333333333,9,19
5,6.428571429,1,15,20
6.666666667,6.571428571,3.666666667,21.66666667,21
7,5.571428571,3.666666667,31,22
0,0.571428571,0.666666667,1,23
1716,1821.142857,1739,2797.333333,24
552,406.1428571,529,1856.666667,25
15,15.42857143,10.66666667,32.33333333,26
0,0,0,1,27
37.66666667,40.28571429,30.66666667,112,28
4.666666667,5.142857143,3.333333333,9.333333333,29
0,0.428571429,0,0,30
1,1.285714286,2,2.666666667,31
2.333333333,1.142857143,1,10.33333333,32
1127.333333,502.1428571,577.3333333,1112,33
8,13.28571429,24.66666667,38,34
10.66666667,12.57142857,10,66,35
55.66666667,21.57142857,40.33333333,833,36
81.33333333,62.14285714,113.6666667,1706.666667,37
1.666666667,2.857142857,1,5.333333333,38
3.666666667,18.14285714,12.33333333,40,39
731,271.8571429,274,737,40
2034,1446.714286,1712,3404.333333,41
1177.333333,559.1428571,709.6666667,1695.666667,42
4694.666667,9521.857143,7839,7080.333333,43
0,0,0,0.333333333,44
437.3333333,1328,1302,3170.666667,45
0,0.285714286,0,2,46
8,4.285714286,3.666666667,24.66666667,47
15100.66667,14873.71429,16996.66667,45666,48
134.6666667,125.2857143,181.3333333,1187.333333,49
4384,5943.142857,5752.666667,11265,50
2,2,1.333333333,12,51
795,290.5714286,266.6666667,488.3333333,52
6.333333333,7.428571429,1.666666667,9.333333333,53
87.66666667,22.85714286,27.33333333,87,54
2.666666667,6.428571429,4,10.33333333,55
21.33333333,15.28571429,12,62,56
0.333333333,0.714285714,1,3.333333333,57
